CLASE_DE_ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA_SEMANA,FECHA_DE_OCURRENCIA,TIPO_DIA,HORA_OCURRENCIA
CHOQUE,DAÑOS,CR 37-CALLE 18,JUANCHITO,JUEVES,2023-05-11,Entre semana,09:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2023-05-15,Entre semana,12:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,EL CARMELO,MIERCOLES,2023-11-17,Entre semana,17:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,EL CARMELO,SABADO,2023-05-20,Fin de semana,23:00:00
CAIDA OCUPANTE,HERIDOS,CALI-CANDELARIA,EL CARMELO,SABADO,2023-05-20,Fin de semana,04:00:00
CHOQUE,HERIDOS,PUERTOTEJADA-PALMIRA,EL CABUYAL,LUNES,2023-05-22,Entre semana,15:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,JUANCHITO,MARTES,2023-05-23,Entre semana,06:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2023-05-23,Entre semana,15:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2023-05-24,Entre semana,18:00:00
CHOQUE,HERIDOS,EL CARMELO,EL CARMELO,DOMINGO,2023-05-28,Fin de semana,10:00:00
CHOQUE,HERIDOS,PUERTOTEJADA-PALMIRA,EL CABUYAL,DOMINGO,2023-05-28,Fin de semana,12:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,EL CARMELO,JUEVES,2023-06-01,Entre semana,00:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2023-06-03,Fin de semana,06:00:00
CHOQUE,HERIDOS,POBLADO CAMPESTRE,JUANCHITO,LUNES,2023-06-05,Entre semana,17:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MARTES,2023-06-07,Entre semana,18:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2023-06-09,Entre semana,12:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,JUANCHITO,SABADO,2023-06-11,Fin de semana,13:00:00
VOLCAMIENTO,DAÑOS,CALI-CANDELARIA,CANDELARIA,DOMINGO,2023-06-12,Fin de semana,06:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2023-06-15,Entre semana,12:00:00
