CLASE DE ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA SEMANA,FECHA DE OCURRECIA,HORA OCURRENCIA
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,LUNES,2021-03-15,7:03:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-03-17,11:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-03-17,7:50:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-03-17,7:55:00 AM
ATROPELLO,DAÑOS,CALI-FLORIDA,CANDELARIA,JUEVES,2021-03-18,4:10:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-03-19,12:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-03-20,12:30:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,SABADO,2021-03-20,8:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,SABADO,2021-03-20,4:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-03-20,4:05:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-03-21,10:15:00 AM
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-03-21,3:52:00 PM
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,DOMINGO,2021-03-21,6:40:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-03-23,7:30:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-03-25,1:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-03-26,5:20:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-03-27,7:05:00 AM
CHOQUE,DAÑOS,CALI-FLORIDA,CANDELARIA,LUNES,2021-03-29,7:23:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-03-30,2:20:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-03-31,7:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-03-31,3:30:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-03-31,3:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,VIERNES,2021-04-02,2:20:00 PM
CHOQUE,DAÑOS,Via interna,VILLAGORGONA,SABADO,2021-04-03,8:30:00 AM
CHOQUE,DAÑOS,Via interna,VILLAGORGONA,SABADO,2021-04-03,8:46:00 PM
N/A,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-04-05,6:04:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-04-05,8:45:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,LA REGINA,LUNES,2021-04-05,11:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-04-07,11:00:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-04-06,12:40:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-04-09,12:10:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-04-10,2:00:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-04-10,9:00:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-11,9:30:00 AM
CHOQUE,HERIDOS,CANDELARIA,EL LAURO,DOMINGO,2021-04-11,4:00:00 PM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,CANDELARIA,DOMINGO,2021-04-11,9:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-11,9:20:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-11,9:40:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL ARENAL,LUNES,2021-04-12,1:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL TIPLE,LUNES,2021-04-12,7:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MARTES,2021-04-13,8:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-04-13,10:10:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MIERCOLES,2021-04-14,2:00:00 PM
ATROPELLO,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-04-14,3:20:00 PM
CHOQUE,HERIDOS,CANDELARIA,SAN JOAQUIN,JUEVES,2021-04-15,6:50:00 AM
ATROPELLO,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-04-15,7:40:00 AM
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-04-15,9:40:00 PM
